,Unnamed: 0,Unnamed: 0.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
0,7170,7170,0xflotus,contain-facebook,2018-11-26T22:17:57Z,CONTRIBUTOR,True,fixed Multi-Account in README,Shouldn't it be Multi-Account?,2018-11-26T23:12:38Z,https://api.github.com/repos/mozilla/contain-facebook/pulls/188,2.0,1.0,1.0,2018-11-26T22:17:57Z,590611baa99e9dafba1bf637147bfc5765734c8d,590611baa99e9dafba1bf637147bfc5765734c8d,"fixed Multi-Account in README

Shouldn't it be Multi-Account?",Facebook Container isolates your Facebook activity from the rest of your web activity in order to prevent Facebook from tracking you outside of the Facebook website via third party cookies.,JavaScript
1,1808,1808,AlinSelagea,build-slaveapi,2017-10-25T08:42:22Z,CONTRIBUTOR,True,Revert bug 1399404,,2017-10-25T08:45:20Z,https://api.github.com/repos/mozilla/build-slaveapi/pulls/11,25.0,15.0,10.0,2017-10-25T08:42:22Z,5b8bdbfbfe6a71b282e8fb15e7bb7a1c6d2b9da4,5b8bdbfbfe6a71b282e8fb15e7bb7a1c6d2b9da4,Revert bug 1399404,Part of releng tooling,Python
2,3799,3799,AlphaRoy14,mozilla-campus-clubs,2019-07-25T08:06:23Z,CONTRIBUTOR,True,Updated activities.html,Fixed some typos and spelling mistakes.,2019-07-25T08:08:48Z,https://api.github.com/repos/mozilla/mozilla-campus-clubs/pulls/234,8.0,4.0,4.0,2019-07-25T08:06:23Z,af97ef712ebb7e2839659a72917dce3720299e11,af97ef712ebb7e2839659a72917dce3720299e11,Fixed typos,Mozilla Campus Clubs,JavaScript
3,4567,4567,Archaeopteryx,moz-corsica,2015-08-10T18:16:30Z,CONTRIBUTOR,True,Readd 'Mozilla is my Dinosaur',"The date part of the url got update, so use the new one.
",2015-08-10T18:20:53Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/33,1.0,1.0,0.0,2015-08-10T18:16:30Z,6fc881c1771322481236916304189a8aa3ddfdf3,6fc881c1771322481236916304189a8aa3ddfdf3,Readd 'Mozilla is my Dinosaur',Public Corsica instance for the ambient Mozilla office,Shell
4,4539,4539,Archaeopteryx,moz-corsica,2016-09-19T16:55:12Z,CONTRIBUTOR,True,Issue #72: Drop View Source conference slide,,2016-09-19T16:57:33Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/73,1.0,0.0,1.0,2016-09-19T16:55:12Z,5a9703c192185c4604f45a164db71b271f3fabd6,5a9703c192185c4604f45a164db71b271f3fabd6,Drop View Source conference slide,Public Corsica instance for the ambient Mozilla office,Shell
5,2528,2528,AutomatedTester,input-tests,2010-12-02T15:39:32Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,33.0,9.0,24.0,2010-12-02T15:39:32Z,b277a6af186b94ac722974bfa35c41f1f677acd3,b277a6af186b94ac722974bfa35c41f1f677acd3,Removed Dead code,Tests for Mozilla Input website.,
6,2529,2529,AutomatedTester,input-tests,2010-12-02T15:46:11Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,2.0,2.0,0.0,2010-12-02T15:46:11Z,44e6c3fcc77a35e9ab1ddb27634bdfce29e2b9de,44e6c3fcc77a35e9ab1ddb27634bdfce29e2b9de,Merge branch 'master' of github.com:mozilla/input-tests,Tests for Mozilla Input website.,
7,2530,2530,AutomatedTester,input-tests,2010-12-02T17:22:30Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,83.0,83.0,0.0,2010-12-02T17:22:30Z,bf9032ebd3e8debc28e04cec5af219fe8967e2bc,bf9032ebd3e8debc28e04cec5af219fe8967e2bc,Test case for Litmus 13847,Tests for Mozilla Input website.,
8,2531,2531,AutomatedTester,input-tests,2010-12-02T21:04:15Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,3.0,3.0,0.0,2010-12-02T21:04:15Z,fc9deba70d920ba61eeafdef429ea95f731bfa16,fc9deba70d920ba61eeafdef429ea95f731bfa16,Set the window to maximize when the page has loaded,Tests for Mozilla Input website.,
9,2532,2532,AutomatedTester,input-tests,2010-12-02T21:05:01Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,9.0,9.0,0.0,2010-12-02T21:05:01Z,cec6066dbb0e7a0d099981d36c20eca2219e4899,cec6066dbb0e7a0d099981d36c20eca2219e4899,Litmus case 13697 added,Tests for Mozilla Input website.,
10,2533,2533,AutomatedTester,input-tests,2010-12-03T09:34:39Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,24.0,6.0,18.0,2010-12-03T09:34:39Z,571ee8f5bb5f4d44a8e2177cd1e7f549397c1adc,571ee8f5bb5f4d44a8e2177cd1e7f549397c1adc,Removing more dead code,Tests for Mozilla Input website.,
11,2534,2534,AutomatedTester,input-tests,2010-12-03T18:39:29Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,370.0,364.0,6.0,2010-12-03T18:39:29Z,581774082ea6c24e14f7e65a1e2edf9df4c009da,581774082ea6c24e14f7e65a1e2edf9df4c009da,Merge from upstream,Tests for Mozilla Input website.,
12,2535,2535,AutomatedTester,input-tests,2010-12-03T19:33:50Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,3.0,2.0,1.0,2010-12-03T19:33:50Z,cffaa113295a7ec97aefb8e744ae7ca7a51245b8,cffaa113295a7ec97aefb8e744ae7ca7a51245b8,Merge branch 'master' of github.com:mozilla/input-tests,Tests for Mozilla Input website.,
